"Products","Status","Type","Sponsored Products eligibility","Sales(INR)","ROAS","Conversion rate","Impressions","Clicks","CTR","Spend(INR)","CPC(INR)","Orders","ACOS","NTB orders","% of orders NTB","NTB sales(INR)","% of sales NTB","Viewable impressions"
"B0FW4SM5D3-CRM-BR-T730DW-Grey","","","Eligible","6084.73","6.05","0.2155","18128","116","0.0064","1006.45","8.68","25","0.1654","5","0.2000","1203.80","0.1978","1052"
"B0CQCQJZH5-CRM-HP-M126-M136nw-Black","","","Eligible","5016.19","5.00","0.1448","9430","145","0.0154","1003.85","6.92","21","0.2001","2","0.0952","492.38","0.0982","302"
"B0GQ34VLVM-CRM-PR-G4780-GREY","","","Eligible","9420.08","10.64","0.2568","22794","148","0.0065","885.76","5.98","38","0.0940","3","0.0789","737.14","0.0783","975"
"B0GQMTMYK5-CRM-STB-FT-BLUE-PACK-2","","","Eligible","475.24","0.54","0.0102","31034","98","0.0032","877.31","8.95","1","1.8460","0","0.0000","0.00","0.0000","0"
"B0CH3L3PYX-CRM_NW_GREY_DC_PACK OF 5","","","Eligible","2133.33","2.51","0.0333","23457","120","0.0051","850.51","7.09","4","0.3987","0","0.0000","0.00","0.0000","0"
"B0BF59CVGV-Apron_Blue","","","Eligible","1879.02","2.34","0.0706","15730","85","0.0054","803.39","9.45","6","0.4276","0","0.0000","0.00","0.0000","663"
"B0BQMV8D85-CRM_AP_BROWN_PACK OF 2","","","Eligible","5162.84","7.41","0.1594","16051","69","0.0043","696.60","10.10","11","0.1349","0","0.0000","0.00","0.0000","378"
"B0DN9JXDRD-CRM-PR-4826-E477-GREY","","","Eligible","6074.21","8.84","0.3012","25116","83","0.0033","686.94","8.28","25","0.1131","4","0.1600","971.42","0.1599","1104"
"B0F91CY6LW-CRM-WG-NW-Ultra-Grind+-Black","","","Eligible","4301.92","6.32","0.1208","28046","149","0.0053","681.10","4.57","18","0.1583","1","0.0556","237.14","0.0551","533"
"B0CQC5GSY9-CRM-HP-529-Grey","","","Eligible","2696.21","3.98","0.1739","22493","69","0.0031","677.44","9.82","12","0.2513","3","0.2500","733.33","0.2720","1834"
"B0G42PN4TM-CRM-HP-1008w-Grey_1","","","Eligible","5639.95","9.06","0.2000","11270","110","0.0098","622.81","5.66","22","0.1104","2","0.0909","490.48","0.0870","694"
"B0GMWCRQ2M-CRM-CSTB1-Black-5Q","","","Eligible","5422.87","8.97","0.0741","7563","81","0.0107","604.60","7.46","6","0.1115","0","0.0000","0.00","0.0000","0"
"B0DVPHGLM3-CRM-PR-G4770-NW-BLACK","","","Eligible","1961.93","3.34","0.0889","14701","90","0.0061","587.54","6.53","8","0.2995","0","0.0000","0.00","0.0000","516"
"B0DKP64DPR-CRM-HP-4826-4929-Grey","","","Eligible","3937.15","7.25","0.2388","11437","67","0.0059","542.88","8.10","16","0.1379","1","0.0625","246.67","0.0627","406"
"B0CQ8KNQMG-CRM-HP-580-Black","","","Eligible","3367.60","6.43","0.2222","14720","63","0.0043","523.83","8.31","14","0.1555","4","0.2857","969.52","0.2879","1276"
"B0DN9NPSCX-CRM-PR-4826-E477-BLACK","","","Eligible","1462.85","2.83","0.1111","13464","54","0.0040","517.07","9.58","6","0.3535","2","0.3333","491.43","0.3359","881"
"B0GQ35R1CV-CRM-BR-L2321D-GREY","","","Eligible","3280.97","6.46","0.2241","9964","58","0.0058","507.53","8.75","13","0.1547","0","0.0000","0.00","0.0000","202"
"B0BFB27TWG-Bajaj_3","","","Eligible","2807.61","5.61","0.0945","31183","127","0.0041","500.15","3.94","12","0.1781","3","0.2500","710.47","0.2531","988"
"B0CQC8G87Y-CRM-HP-529-Black","","","Eligible","2759.07","5.75","0.2391","107102","46","0.0004","479.57","10.43","11","0.1738","1","0.0909","244.76","0.0887","191"
"B0BQMXG193-CRM_AP_RED_PACK OF 3","","","Eligible","4495.27","10.27","0.0909","11578","44","0.0038","437.78","9.95","4","0.0974","0","0.0000","0.00","0.0000","288"
"B0CV47TJPR-CRM-WG-NW-Ultra-Black","","","Eligible","3144.75","7.19","0.1667","15983","84","0.0053","437.56","5.21","14","0.1391","8","0.5714","1892.37","0.6018","895"
"B0CTMJD3KP-CRM-DC-TS-NW-BLACK-2Q","","","Eligible","2603.79","6.05","0.1270","22769","63","0.0028","430.17","6.83","8","0.1652","0","0.0000","0.00","0.0000","0"
"B0BQMYFYKL-CRM_AP_BROWN_PACK OF 3","","","Eligible","7679.10","18.07","0.1818","13196","44","0.0033","424.88","9.66","8","0.0553","0","0.0000","0.00","0.0000","171"
"B0F4XM78MP-CRM-HP-2606sdw-Grey","","","Eligible","5588.53","13.90","0.3710","19933","62","0.0031","402.19","6.49","23","0.0720","11","0.4783","2738.09","0.4899","3626"
"B0GR94RKK3-CRM-EP-L8050-Grey","","","Eligible","3226.69","8.25","0.1512","7713","86","0.0112","391.16","4.55","13","0.1212","2","0.1538","475.24","0.1473","452"
"B0CTTK9CDY-CRM-HP-525-Grey","","","Eligible","1739.07","4.91","0.2000","7876","35","0.0044","354.34","10.12","7","0.2038","0","0.0000","0.00","0.0000","190"
"B0GZJNT7RC-CRM-Trolley Cover-Set of 3_1","","","Eligible","1659.32","4.76","0.0645","3448","31","0.0090","348.89","11.25","2","0.2103","0","0.0000","0.00","0.0000","0"
"B0BFB324WC-Bajaj_4","","","Eligible","2367.60","7.05","0.0968","27290","93","0.0034","335.77","3.61","9","0.1418","1","0.1111","236.19","0.0998","526"
"B0CQC5BJQ2-CRM-HP-670-Grey","","","Eligible","2727.63","8.96","0.4231","10882","26","0.0024","304.58","11.71","11","0.1117","5","0.4545","1227.61","0.4501","3007"
"B0F9NZ1J2K-CRM-SC-BLACK-TS-4Q","","","Eligible","0.00","0.00","0.0000","4409","54","0.0122","285.81","5.29","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0BQMZGXJ4-CRM_AP_BLUE_PACK OF 3","","","Eligible","446.67","1.58","0.0345","8411","29","0.0034","283.30","9.77","1","0.6342","0","0.0000","0.00","0.0000","117"
"B0CQCBB5LV-CRM-HP-750-Grey","","","Eligible","2683.83","9.65","0.2200","12323","50","0.0041","277.99","5.56","11","0.1036","2","0.1818","469.52","0.1749","551"
"B0BF59NWBQ-Apron_Red","","","Eligible","911.42","3.72","0.1111","8656","27","0.0031","245.28","9.08","3","0.2691","0","0.0000","0.00","0.0000","69"
"B0BQMX8QHL-CRM_AP_GREY_PACK OF 2","","","Eligible","1481.90","6.17","0.1200","5528","25","0.0045","240.35","9.61","3","0.1622","0","0.0000","0.00","0.0000","159"
"B0GK9DR68D-CRM-PR-670-G3780-GREY","","","Eligible","759.05","3.20","0.1000","8215","30","0.0037","237.30","7.91","3","0.3126","1","0.3333","246.67","0.3250","758"
"B0G64N7TZC-CRM-WO1-Blue-2Q","","","Eligible","702.86","3.00","0.0233","12924","43","0.0033","234.58","5.46","1","0.3338","0","0.0000","0.00","0.0000","0"
