"Products","Status","Type","Sponsored Products eligibility","Sales(INR)","ROAS","Conversion rate","Impressions","Clicks","CTR","Spend(INR)","CPC(INR)","Orders","ACOS","NTB orders","% of orders NTB","NTB sales(INR)","% of sales NTB","Viewable impressions"
"B0FZSTY43W-CRM-TS-STB-PACK-8","","","","12422.88","8.18","0.0512","43326","215","0.0050","1519.32","7.07","11","0.1223","0","0.0000","0.00","0.0000","6"
"B0DKTNJ414-CRM-PR-670-G3770-BLACK","","","","4957.21","4.50","0.1081","28669","185","0.0065","1102.65","5.96","20","0.2224","1","0.0500","246.67","0.0498","427"
"B0FS6JSFCS-CRM-Cube2-Blue-Pack4","","","","1625.72","1.96","0.0174","84263","172","0.0020","830.95","4.83","3","0.5111","2","0.6667","1293.34","0.7955","41525"
"B0BFB324WC-Bajaj_4","","","","1422.84","2.41","0.0353","49942","170","0.0034","589.72","3.47","6","0.4145","0","0.0000","0.00","0.0000","0"
"B0F91CY6LW-CRM-WG-NW-Ultra-Grind+-Black","","","","5248.52","11.40","0.1497","16251","147","0.0090","460.44","3.13","22","0.0877","0","0.0000","0.00","0.0000","0"
"B0FW4VKZ9M-CRM-BR-T535DW-Grey-FBM","","","","4193.36","6.45","0.1088","18269","147","0.0080","650.51","4.43","16","0.1551","5","0.3125","1480.02","0.3529","1283"
"B0CTH4N526-CRM-Canon-G3012-NW-Grey","","","","11365.82","10.11","0.3380","13341","142","0.0106","1124.53","7.92","48","0.0989","8","0.1667","1973.36","0.1736","1338"
"B0CTH4V3PZ-CRM-Canon-G3012-NW-Black","","","","9642.98","9.17","0.2891","12608","128","0.0102","1051.84","8.22","37","0.1091","3","0.0811","1257.16","0.1304","962"
"B0BFB27TWG-Bajaj_3","","","","1693.32","4.07","0.0630","27704","127","0.0046","415.54","3.27","8","0.2454","0","0.0000","0.00","0.0000","0"
"B0DN9JXDRD-CRM-PR-4826-E477-GREY","","","","8657.21","10.60","0.3000","22652","120","0.0053","816.89","6.81","36","0.0944","2","0.0556","493.34","0.0570","602"
"B0BQMV8D85-CRM_AP_BROWN_PACK OF 2","","","","9666.64","9.67","0.1593","24505","113","0.0046","999.74","8.85","18","0.1034","0","0.0000","0.00","0.0000","803"
"B0CH3L3PYX-CRM_NW_GREY_DC_PACK OF 5","","","","10534.35","13.85","0.1504","26675","113","0.0042","760.76","6.73","17","0.0722","0","0.0000","0.00","0.0000","0"
"B0BF57ZCLY-Apron_Black","","","","3319.96","3.79","0.1071","27407","112","0.0041","875.61","7.82","12","0.2637","1","0.0833","237.14","0.0714","431"
"B0BQMSCT6Y-CRM_AP_BLACK_PACK OF 2","","","","10026.56","9.94","0.1607","26872","112","0.0042","1008.29","9.00","18","0.1006","0","0.0000","0.00","0.0000","937"
"B0CQCQJZH5-CRM-HP-M126-M136nw-Black","","","","4731.46","7.09","0.1532","8835","111","0.0126","667.42","6.01","17","0.1411","0","0.0000","0.00","0.0000","118"
"B0CTFDQXD4-CRM-EP-L3210-NW-BLACK","","","","5989.58","7.00","0.1982","11310","111","0.0098","856.21","7.71","22","0.1430","5","0.2273","1257.15","0.2099","1577"
"B0FW4SM5D3-CRM-BR-T730DW-Grey","","","","5426.73","10.52","0.2268","24626","97","0.0039","515.67","5.32","22","0.0950","8","0.3636","1973.36","0.3636","1214"
"B0BFB31MWV-Ultra_1","","","","710.47","2.10","0.0313","30449","96","0.0032","338.50","3.53","3","0.4764","0","0.0000","0.00","0.0000","0"
"B0FW4VKZ9M-CRM-BR-T535DW-Grey","","","","6162.90","12.88","0.2717","15268","92","0.0060","478.40","5.20","25","0.0776","2","0.0800","493.34","0.0800","1326"
"B0GMWCRQ2M-CRM-CSTB1-Black-5Q","","","","856.19","0.84","0.0110","49276","91","0.0018","1016.89","11.17","1","1.1877","0","0.0000","0.00","0.0000","0"
"B0F4XM78MP-CRM-HP-2606sdw-Grey","","","","4207.66","12.34","0.1977","20699","86","0.0042","340.91","3.96","17","0.0810","8","0.4706","1997.16","0.4746","2760"
"B0BF598T14-Apron_Brown","","","","4742.80","7.71","0.1325","24027","83","0.0035","615.36","7.41","11","0.1297","0","0.0000","0.00","0.0000","482"
"B0CQC5GSY9-CRM-HP-529-Grey","","","","2713.36","4.05","0.1429","15736","77","0.0049","669.94","8.70","11","0.2469","1","0.0909","246.67","0.0909","1612"
"B0CH3JNFVV-CRM_NW_BLACK_DC_PACK OF 2","","","","1926.66","4.44","0.0959","19036","73","0.0038","433.87","5.94","7","0.2252","0","0.0000","0.00","0.0000","0"
"B0FW516TLK-CRM-BR-T820DW-Grey","","","","2465.74","6.64","0.1389","20727","72","0.0035","371.27","5.16","10","0.1506","4","0.4000","985.72","0.3998","860"
"B0DKTH64QZ-CRM-PR-670-G3770-GREY","","","","2959.08","7.08","0.1618","14657","68","0.0046","418.08","6.15","11","0.1413","2","0.1818","492.38","0.1664","346"
"B0CV47TJPR-CRM-WG-NW-Ultra-Black","","","","2608.54","8.65","0.1642","7554","67","0.0089","301.65","4.50","11","0.1156","0","0.0000","0.00","0.0000","0"
"B0DKP64DPR-CRM-HP-4826-4929-Grey","","","","4463.86","10.57","0.2857","11864","63","0.0053","422.38","6.70","18","0.0946","1","0.0556","246.66","0.0553","483"
"B0BM4KGTYM-CRM_NW_BLACK_DC","","","","3199.01","6.67","0.2131","12512","61","0.0049","479.31","7.86","13","0.1498","0","0.0000","0.00","0.0000","0"
"B0CQC8G87Y-CRM-HP-529-Black","","","","2713.36","5.73","0.1803","10420","61","0.0059","473.32","7.76","11","0.1744","2","0.1818","493.34","0.1818","788"
"B0G42PN4TM-CRM-HP-1008w-Grey_1","","","","3970.53","15.30","0.2759","13726","58","0.0042","259.52","4.47","16","0.0654","3","0.1875","763.82","0.1924","1609"
"B0BQMZKF2K-CRM_AP_TEN _PACK OF 3","","","","1510.48","3.30","0.0702","10943","57","0.0052","457.67","8.03","4","0.3030","0","0.0000","0.00","0.0000","206"
