"Products","Status","Type","Sponsored Products eligibility","Sales(INR)","ROAS","Conversion rate","Impressions","Clicks","CTR","Spend(INR)","CPC(INR)","Orders","ACOS","NTB orders","% of orders NTB","NTB sales(INR)","% of sales NTB","Viewable impressions"
"B0GPF39X1W-CRM-STB-MT-BLUE-PACK-2","","","","422.03","0.98","0.0196","107091","51","0.0005","430.28","8.44","1","1.0195","0","0.0000","0.00","0.0000","4"
"B0BFB27TWG-Bajaj_3","","","","2970.48","7.13","0.1057","25583","123","0.0048","416.62","3.39","13","0.1403","0","0.0000","0.00","0.0000","482"
"B0F4XM78MP-CRM-HP-2606sdw-Grey","","","","7637.15","19.09","0.3371","21991","89","0.0040","400.03","4.49","30","0.0524","19","0.6333","4843.80","0.6342","4183"
"B0CQC8G87Y-CRM-HP-529-Black","","","","1270.47","3.36","0.1176","11631","51","0.0044","378.59","7.42","6","0.2980","0","0.0000","0.00","0.0000","1818"
"B0CTTK9CDY-CRM-HP-525-Grey","","","","2246.67","6.14","0.2041","10722","49","0.0046","365.82","7.47","10","0.1628","3","0.3000","738.09","0.3285","1558"
"B0GQ35R1CV-CRM-BR-L2321D-GREY","","","","3001.91","8.22","0.2000","9489","60","0.0063","365.38","6.09","12","0.1217","0","0.0000","0.00","0.0000","0"
"B0GQ34VLVM-CRM-PR-G4780-GREY","","","","2737.13","7.57","0.1549","11524","71","0.0062","361.41","5.09","11","0.1320","0","0.0000","0.00","0.0000","0"
"B0FW516TLK-CRM-BR-T820DW-Grey","","","","4078.09","11.66","0.2623","15435","61","0.0040","349.61","5.73","16","0.0857","12","0.7500","3053.33","0.7487","2516"
"B0CH3JHFC4-CRM_NW_BLACK_DC_PACK OF 5","","","","1472.40","4.34","0.0652","13526","46","0.0034","339.52","7.38","3","0.2306","0","0.0000","0.00","0.0000","0"
"B0CTFBJR4V-CRM-EP-L3110-NW-GREY","","","","3772.39","11.42","0.3019","13599","53","0.0039","330.21","6.23","16","0.0875","7","0.4375","1732.37","0.4592","5308"
"B0CQCBB5LV-CRM-HP-750-Grey","","","","4085.72","12.40","0.2500","17216","60","0.0035","329.53","5.49","15","0.0807","3","0.2000","1042.86","0.2552","4145"
