"Products","Status","Type","Sponsored Products eligibility","Sales(INR)","ROAS","Conversion rate","Impressions","Clicks","CTR","Spend(INR)","CPC(INR)","Orders","ACOS","NTB orders","% of orders NTB","NTB sales(INR)","% of sales NTB","Viewable impressions"
"B0F4XQ6NSJ-CRM-Canon-TS207-Grey","","","Eligible","1500.95","26.51","0.4615","4387","13","0.0030","56.62","4.36","6","0.0377","6","1.0000","1500.95","1.0000","832"
"B0FTM35K6D-CRM-PR-4826-MG3070S-Black","","","Eligible","1024.76","18.17","0.5714","1957","7","0.0036","56.39","8.06","4","0.0550","2","0.5000","512.38","0.5000","273"
"B0DKSPVH4D-CRM-HP-4826-4929-Black","","","Eligible","256.19","4.55","0.1000","3007","10","0.0033","56.35","5.63","1","0.2200","0","0.0000","0.00","0.0000","203"
"B0CQC2FSMM-CRM-HP-750-Black","","","Eligible","481.91","8.60","0.1667","4442","12","0.0027","56.05","4.67","2","0.1163","2","1.0000","481.91","1.0000","268"
"B0G4LQ62YL-CRM-HP-2606sdw-Black","","","Eligible","2479.03","45.04","2.5000","3968","4","0.0010","55.05","13.76","10","0.0222","9","0.9000","2222.84","0.8967","1785"
"B0BQMXRGYR-CRM_AP_GREEN_PACK OF 3","","","Eligible","0.00","0.00","0.0000","1514","7","0.0046","54.39","7.77","0","0.0000","0","0.0000","0.00","0.0000","123"
"B0GYR3J89X-CRM-PS5-NW-BLACK","","","Eligible","214.29","4.10","0.1667","1361","6","0.0044","52.30","8.72","1","0.2441","0","0.0000","0.00","0.0000","0"
"B0BQMY39JW-CRM_AP_BLACK_PACK OF 3","","","Eligible","0.00","0.00","0.0000","1294","6","0.0046","50.26","8.38","0","0.0000","0","0.0000","0.00","0.0000","102"
"B0GK9BZV9D-CRM-PR-G4770-4123-Grey","","","Eligible","1967.61","39.45","0.8889","3352","9","0.0027","49.88","5.54","8","0.0254","7","0.8750","1711.42","0.8698","1102"
"B0GPF39X1W-CRM-STB-MT-BLUE-PACK-2","","","Eligible","445.71","10.07","0.1250","9586","8","0.0008","44.27","5.53","1","0.0993","0","0.0000","0.00","0.0000","2"
"B0DM1GM4RV-CRM-BR-580-T226-NW-BLACK","","","Eligible","983.80","22.54","0.4444","2714","9","0.0033","43.64","4.85","4","0.0444","3","0.7500","738.09","0.7502","213"
"B0FS6JSFCS-CRM-Cube2-Blue-Pack4","","","Eligible","0.00","0.00","0.0000","3608","6","0.0017","42.98","7.16","0","0.0000","0","0.0000","0.00","0.0000","1727"
"B0CV16PGBY-CRM-WG-NW-Butterfly-Black","","","Eligible","472.38","16.55","0.6667","3818","3","0.0008","28.54","9.51","2","0.0604","2","1.0000","472.38","1.0000","1574"
"B0GQ98S46L-CRM-WO1-Blue-5Q","","","Eligible","0.00","0.00","0.0000","600","2","0.0033","10.78","5.39","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0CV3M59HH-CRM-WG-NW-Bajaj-Grey","","","Eligible","0.00","0.00","0.0000","1112","1","0.0009","8.27","8.27","0","0.0000","0","0.0000","0.00","0.0000","420"
"B0GQZS7KFP-CRM-Trolley Cover-20-Inch","","","Eligible","0.00","0.00","0.0000","148","1","0.0068","6.38","6.38","0","0.0000","0","0.0000","0.00","0.0000","0"
"B00AZJ87ZG-DR-015X-5VGE","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075FWTPBJ-Nv02","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075FX3QKV-Nv03","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075FXFBYG-Nv05","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GDNGZY-Nv07","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GDNGZY-Nv31","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GGFL45-Nv06","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GNTLL8-Mini Black","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GNTLL8-Nv09","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GPMM4G-Nv08","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GPMM4G-Nv2151","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GPMM4G-Nv29","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GPMM4G-Nv70","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075JCX3M6-Nv15","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075JDBGV2-Nv14","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0786FH1VH-Nv43","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0786JB2RD-Nv45","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078HCXPMQ-Nv55","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078HXNG24-Nv58","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078J36Z1M-Nv57","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078NYMVH9-Jmax Black","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078NYMVH9-Nv64","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078NYMVH9-Nv78","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078SRD2T1-Nv68","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078STXP6F-Nv67","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078SVBFCY-Nv69","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078SVF664-Nv66","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078TCRMYG-Air2 Rc Black","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078TCRMYG-Nv72","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078TCSFJV-Nv231","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078TCSFJV-Nv73","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078THLTYM-Nv74","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0792F13F4-Nv77","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0792F13F4-Nv82","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0792F13F4-Tab E Black","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B079G1YNVG-Nv204","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B079G1YNVG-Nv79","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B079G1YNVG-Nv80","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B079L7DRZH-Nv81","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B079P2992V-Nv84","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B079YXNZ6K-CA_G_3060","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07BFVT7K6-Jmax Brown","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07BFVT7K6-Nv242","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07BFVT7K6-Nv86","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07BFW6VCF-Nv87","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07BFW84GP-Nv222","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07BFW84GP-Nv89","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07BFWJ75P-Jmax Blue","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07BFWJ75P-Nv241","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07BFWJ75P-Nv85","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
