"asin","fnsku","product-name","fulfillment-center","country-code","longest-side","median-side","shortest-side","measurement-units","weight","weight-units","item-volume","volume-units","average-quantity-on-hand","average-quantity-pending-removal","estimated-total-item-volume","month-of-charge","storage-rate","currency","estimated-monthly-storage-fee","average-quantity-customer-orders"
"B0DN9JXDRD","X0027PPVX5","CRASOME Non-Woven Dust & Water Proof Printer Cover for Canon Pixma E470 / E477 (Grey)","BLR7","IN","15.10","14.40","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","23.06","0.0","0.0238","2026-03","2083.88","INR","49.5792","0.29"
"B0DN9JXDRD","X0027PPVX5","CRASOME Non-Woven Dust & Water Proof Printer Cover for Canon Pixma E470 / E477 (Grey)","HYD3","IN","15.10","14.40","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","3.0","0.0","0.0031","2026-03","2083.88","INR","6.5325","0.0"
"B0DN9JXDRD","X0027PPVX5","CRASOME Non-Woven Dust & Water Proof Printer Cover for Canon Pixma E470 / E477 (Grey)","DED4","IN","15.10","14.40","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","1.06","0.0","0.0011","2026-03","2083.88","INR","2.3071","0.0"
"B0DN9JXDRD","X0027PPVX5","CRASOME Non-Woven Dust & Water Proof Printer Cover for Canon Pixma E470 / E477 (Grey)","DEL4","IN","15.10","14.40","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","24.87","0.0","0.0259","2026-03","2083.88","INR","53.8694","0.13"
"B0DN9JXDRD","X0027PPVX5","CRASOME Non-Woven Dust & Water Proof Printer Cover for Canon Pixma E470 / E477 (Grey)","BOM7","IN","15.10","14.40","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","20.74","0.0","0.0216","2026-03","2083.88","INR","45.0293","0.06"
"B0DN9JXDRD","X0027PPVX5","CRASOME Non-Woven Dust & Water Proof Printer Cover for Canon Pixma E470 / E477 (Grey)","BLR5","IN","15.10","14.40","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","0.13","0.0","0.0001","2026-03","2083.88","INR","0.2832","0.0"
"B0DN9JXDRD","X0027PPVX5","CRASOME Non-Woven Dust & Water Proof Printer Cover for Canon Pixma E470 / E477 (Grey)","BOM5","IN","15.10","14.40","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","75.06","0.0","0.0783","2026-03","2083.88","INR","163.219","0.1"
"B0DN9JXDRD","X0027PPVX5","CRASOME Non-Woven Dust & Water Proof Printer Cover for Canon Pixma E470 / E477 (Grey)","BLR7","IN","15.10","14.40","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","0.19","0.03","0.0002","2026-03","2083.88","INR","0.3482","0.0"
"B0FLY9P9DR","X002E901FH","CRASOME Pack of 2 Transparent Clothes Storage Bags | Saree Covers with zip | Wardrobe Organizer with Zipper | Clear Storage for Clothes, Blankets, Bedsheets, Lehenga, Toys & Documents (TS-STB-PACK-2)","DEL5","IN","41.79","36.70","5.50","centimeter","0.51","kilograms","0.0084","cubic meter","4.97","0.0","0.0411","2026-03","2083.88","INR","85.6108","0.1"
"B0DN9JXDRD","X0027PPVX5","CRASOME Non-Woven Dust & Water Proof Printer Cover for Canon Pixma E470 / E477 (Grey)","BLR8","IN","15.10","14.40","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","65.45","0.0","0.0683","2026-03","2083.88","INR","142.2946","0.1"
"B0DN9JXDRD","X0027PPVX5","CRASOME Non-Woven Dust & Water Proof Printer Cover for Canon Pixma E470 / E477 (Grey)","BLR4","IN","15.10","14.40","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","4.1","0.0","0.0043","2026-03","2083.88","INR","8.9281","0.0"
"B0DN9JXDRD","X0027PPVX5","CRASOME Non-Woven Dust & Water Proof Printer Cover for Canon Pixma E470 / E477 (Grey)","HYD8","IN","15.10","14.40","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","0.71","0.35","0.0004","2026-03","2083.88","INR","0.7848","0.0"
"B0DN9JXDRD","X0027PPVX5","CRASOME Non-Woven Dust & Water Proof Printer Cover for Canon Pixma E470 / E477 (Grey)","HYD8","IN","15.10","14.40","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","80.94","0.0","0.0845","2026-03","2083.88","INR","176.0236","0.1"
"B0DN9JXDRD","X0027PPVX5","CRASOME Non-Woven Dust & Water Proof Printer Cover for Canon Pixma E470 / E477 (Grey)","AMD2","IN","15.10","14.40","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","13.16","0.0","0.0134","2026-03","2083.88","INR","28.0232","0.29"
"B0BQMV8D85","X001OW333H","CRASOME Apron for Kitchen | Unisex Cooking Apron with 2 Pockets and Adjustable Straps | Apron for Chef, Hotel, Cafe, Restaurant, Gardening, Workshop (Brown Pack of 2)","BLR8","IN","18.10","13.79","5.20","centimeter","0.28","kilograms","0.0013","cubic meter","4.97","0.0","0.0064","2026-03","2083.88","INR","13.2712","0.06"
"B0BQMV8D85","X001OW333H","CRASOME Apron for Kitchen | Unisex Cooking Apron with 2 Pockets and Adjustable Straps | Apron for Chef, Hotel, Cafe, Restaurant, Gardening, Workshop (Brown Pack of 2)","BOM7","IN","18.10","13.79","5.20","centimeter","0.28","kilograms","0.0013","cubic meter","3.58","0.0","0.0046","2026-03","2083.88","INR","9.6774","0.0"
"B0BQMV8D85","X001OW333H","CRASOME Apron for Kitchen | Unisex Cooking Apron with 2 Pockets and Adjustable Straps | Apron for Chef, Hotel, Cafe, Restaurant, Gardening, Workshop (Brown Pack of 2)","BOM5","IN","18.10","13.79","5.20","centimeter","0.28","kilograms","0.0013","cubic meter","11.58","0.0","0.0150","2026-03","2083.88","INR","31.2158","0.03"
